SubId,ExpType,trialId,condition,response
2,original,0,1,1
2,original,1,1,1
2,original,2,0,0
2,original,3,0,0
2,original,4,1,1
2,original,5,0,0
2,original,6,0,0
2,original,7,1,1
2,original,8,1,1
2,original,9,0,0
2,original,10,0,0
2,original,11,0,0
2,original,12,0,0
2,original,13,0,0
2,original,14,1,1
2,original,15,0,0
2,original,16,1,1
2,original,17,1,1
2,original,18,1,1
2,original,19,0,0
2,original,20,0,0
2,original,21,1,1
2,original,22,1,1
2,original,23,0,0
2,original,24,1,1
2,original,25,0,0
2,original,26,1,1
2,original,27,1,1
2,original,28,0,1
2,original,29,1,1
2,background,0,1,1
2,background,1,0,1
2,background,2,1,1
2,background,3,0,0
2,background,4,0,1
2,background,5,0,1
2,background,6,1,1
2,background,7,1,1
2,background,8,0,1
2,background,9,1,1
2,background,10,0,1
2,background,11,1,1
2,background,12,1,1
2,background,13,0,0
2,background,14,0,0
2,background,15,0,0
2,background,16,0,1
2,background,17,0,0
2,background,18,1,1
2,background,19,1,1
2,background,20,0,0
2,background,21,1,0
2,background,22,0,1
2,background,23,1,1
2,background,24,1,1
2,background,25,0,1
2,background,26,1,1
2,background,27,1,1
2,background,28,1,1
2,background,29,0,1
2,composition,0,0,1
2,composition,1,0,1
2,composition,2,1,1
2,composition,3,0,1
2,composition,4,1,1
2,composition,5,0,0
2,composition,6,0,0
2,composition,7,0,1
2,composition,8,0,0
2,composition,9,0,1
2,composition,10,0,1
2,composition,11,0,1
2,composition,12,1,0
2,composition,13,1,1
2,composition,14,0,1
2,composition,15,0,0
2,composition,16,1,1
2,composition,17,1,1
2,composition,18,1,0
2,composition,19,1,1
2,composition,20,1,1
2,composition,21,1,0
2,composition,22,0,1
2,composition,23,1,1
2,composition,24,1,1
2,composition,25,1,1
2,composition,26,1,1
2,composition,27,0,1
2,composition,28,1,1
2,composition,29,0,1
